"frame1","frame2","distance"
0,0,0
0,1,5
0,2,10
0,3,15
0,4,20
0,5,25
0,6,30
0,7,35
0,8,40
0,9,45
0,10,50
0,11,55
0,12,60
0,13,65
0,14,70
1,0,5
1,1,0
1,2,5
1,3,10
1,4,15
1,5,20
1,6,25
1,7,30
1,8,35
1,9,40
1,10,45
1,11,50
1,12,55
1,13,60
1,14,65
2,0,10
2,1,5
2,2,0
2,3,5
2,4,10
2,5,15
2,6,20
2,7,25
2,8,30
2,9,35
2,10,40
2,11,45
2,12,50
2,13,55
2,14,60
3,0,15
3,1,10
3,2,5
3,3,0
3,4,5
3,5,10
3,6,15
3,7,20
3,8,25
3,9,30
3,10,35
3,11,40
3,12,45
3,13,50
3,14,55
4,0,20
4,1,15
4,2,10
4,3,5
4,4,0
4,5,5
4,6,10
4,7,15
4,8,20
4,9,25
4,10,30
4,11,35
4,12,40
4,13,45
4,14,50
5,0,25
5,1,20
5,2,15
5,3,10
5,4,5
5,5,0
5,6,5
5,7,10
5,8,15
5,9,20
5,10,25
5,11,30
5,12,35
5,13,40
5,14,45
6,0,30
6,1,25
6,2,20
6,3,15
6,4,10
6,5,5
6,6,0
6,7,5
6,8,10
6,9,15
6,10,20
6,11,25
6,12,30
6,13,35
6,14,40
7,0,35
7,1,30
7,2,25
7,3,20
7,4,15
7,5,10
7,6,5
7,7,0
7,8,5
7,9,10
7,10,15
7,11,20
7,12,25
7,13,30
7,14,35
8,0,40
8,1,35
8,2,30
8,3,25
8,4,20
8,5,15
8,6,10
8,7,5
8,8,0
8,9,5
8,10,10
8,11,15
8,12,20
8,13,25
8,14,30
9,0,45
9,1,40
9,2,35
9,3,30
9,4,25
9,5,20
9,6,15
9,7,10
9,8,5
9,9,0
9,10,5
9,11,10
9,12,15
9,13,20
9,14,25
10,0,50
10,1,45
10,2,40
10,3,35
10,4,30
10,5,25
10,6,20
10,7,15
10,8,10
10,9,5
10,10,0
10,11,5
10,12,10
10,13,15
10,14,20
11,0,55
11,1,50
11,2,45
11,3,40
11,4,35
11,5,30
11,6,25
11,7,20
11,8,15
11,9,10
11,10,5
11,11,0
11,12,5
11,13,10
11,14,15
12,0,60
12,1,55
12,2,50
12,3,45
12,4,40
12,5,35
12,6,30
12,7,25
12,8,20
12,9,15
12,10,10
12,11,5
12,12,0
12,13,5
12,14,10
13,0,65
13,1,60
13,2,55
13,3,50
13,4,45
13,5,40
13,6,35
13,7,30
13,8,25
13,9,20
13,10,15
13,11,10
13,12,5
13,13,0
13,14,5
14,0,70
14,1,65
14,2,60
14,3,55
14,4,50
14,5,45
14,6,40
14,7,35
14,8,30
14,9,25
14,10,20
14,11,15
14,12,10
14,13,5
14,14,0
